rank,model,subset,final_avg_score,metrics,beautiful_name,metric_Contextual_Alignment,metric_Character_Consistency,metric_Descriptive_Depth,metric_Role_Specific_Knowledge,metric_Engagement_and_Collaboration,metric_Creativity_and_Emotional_Nuance
1,gemini-1.5-pro-001,scene,21.96001999999999,"{'Contextual_Alignment': 4.08, 'Character_Consistency': 4.24, 'Descriptive_Depth': 2.63, 'Role_Specific_Knowledge': 3.38, 'Engagement_and_Collaboration': 4.17, 'Creativity_and_Emotional_Nuance': 3.47}",Gemini 1.5 Pro 001,4.08,4.24,2.63,3.38,4.17,3.47
2,higgs-llama-3-70b,scene,21.53715749999999,"{'Contextual_Alignment': 3.97, 'Character_Consistency': 4.1, 'Descriptive_Depth': 2.61, 'Role_Specific_Knowledge': 3.33, 'Engagement_and_Collaboration': 4.09, 'Creativity_and_Emotional_Nuance': 3.43}",Higgs-Llama-3 70B V1 3.5bpw,3.97,4.1,2.61,3.33,4.09,3.43
3,gpt-4o,scene,21.3063,"{'Contextual_Alignment': 3.83, 'Character_Consistency': 4.0, 'Descriptive_Depth': 2.72, 'Role_Specific_Knowledge': 3.34, 'Engagement_and_Collaboration': 3.98, 'Creativity_and_Emotional_Nuance': 3.43}",GPT-4o (2024-05-13),3.83,4.0,2.72,3.34,3.98,3.43
4,gpt-4-1106-preview,scene,20.892125000000007,"{'Contextual_Alignment': 3.71, 'Character_Consistency': 3.86, 'Descriptive_Depth': 2.7, 'Role_Specific_Knowledge': 3.28, 'Engagement_and_Collaboration': 3.92, 'Creativity_and_Emotional_Nuance': 3.43}",GPT-4-Turbo (1106 Preview),3.71,3.86,2.7,3.28,3.92,3.43
5,llama-3-70b-instruct,scene,20.88631250000002,"{'Contextual_Alignment': 3.71, 'Character_Consistency': 3.87, 'Descriptive_Depth': 2.67, 'Role_Specific_Knowledge': 3.28, 'Engagement_and_Collaboration': 3.95, 'Creativity_and_Emotional_Nuance': 3.41}",Llama-3 70B Instruct,3.71,3.87,2.67,3.28,3.95,3.41
6,qwen-2-72b-instruct,scene,20.795969849246237,"{'Contextual_Alignment': 3.65, 'Character_Consistency': 3.78, 'Descriptive_Depth': 2.72, 'Role_Specific_Knowledge': 3.27, 'Engagement_and_Collaboration': 3.86, 'Creativity_and_Emotional_Nuance': 3.41}",Qwen 2 72B Instruct,3.65,3.78,2.72,3.27,3.86,3.41
7,claude-3.5-sonnet-20240620,scene,20.75697249999999,"{'Contextual_Alignment': 3.67, 'Character_Consistency': 3.82, 'Descriptive_Depth': 2.71, 'Role_Specific_Knowledge': 3.26, 'Engagement_and_Collaboration': 3.9, 'Creativity_and_Emotional_Nuance': 3.39}",Claude-3.5 Sonnet (2024-06-20),3.67,3.82,2.71,3.26,3.9,3.39
8,mistral-large-2402,scene,20.750554999999977,"{'Contextual_Alignment': 3.6, 'Character_Consistency': 3.69, 'Descriptive_Depth': 2.85, 'Role_Specific_Knowledge': 3.28, 'Engagement_and_Collaboration': 3.81, 'Creativity_and_Emotional_Nuance': 3.53}",Mistral Large (2024-02),3.6,3.69,2.85,3.28,3.81,3.53
9,llama-3.1-70b-instruct,scene,20.747170426065146,"{'Contextual_Alignment': 3.66, 'Character_Consistency': 3.81, 'Descriptive_Depth': 2.68, 'Role_Specific_Knowledge': 3.25, 'Engagement_and_Collaboration': 3.9, 'Creativity_and_Emotional_Nuance': 3.4}",Llama-3.1 70B Instruct,3.66,3.81,2.68,3.25,3.9,3.4
10,llama3.1-8B-instruct,scene,20.660309823677586,"{'Contextual_Alignment': 3.63, 'Character_Consistency': 3.78, 'Descriptive_Depth': 2.65, 'Role_Specific_Knowledge': 3.23, 'Engagement_and_Collaboration': 3.85, 'Creativity_and_Emotional_Nuance': 3.36}",Llama-3.1 8B Instruct,3.63,3.78,2.65,3.23,3.85,3.36
11,llama-3-1-405b-instruct-fp8,scene,20.613942355889737,"{'Contextual_Alignment': 3.63, 'Character_Consistency': 3.8, 'Descriptive_Depth': 2.65, 'Role_Specific_Knowledge': 3.24, 'Engagement_and_Collaboration': 3.88, 'Creativity_and_Emotional_Nuance': 3.36}",Llama-3.1 405B Instruct (FP8),3.63,3.8,2.65,3.24,3.88,3.36
12,yi-large,scene,20.541414572864337,"{'Contextual_Alignment': 3.59, 'Character_Consistency': 3.72, 'Descriptive_Depth': 2.72, 'Role_Specific_Knowledge': 3.25, 'Engagement_and_Collaboration': 3.78, 'Creativity_and_Emotional_Nuance': 3.37}",Yi Large (2024-05-13),3.59,3.72,2.72,3.25,3.78,3.37
